,index,Title,Movie Link,Year,Duration,MPA,Rating,Votes
154,275,276. The Starling Girl,https://www.imdb.com/title/tt21156390/?ref_=sr_t_276,2023,1h 57m,R,6.7,2.7K
155,349,350. Silver Skates,https://www.imdb.com/title/tt10525672/?ref_=sr_t_350,2020,2h 10m,TV-MA,7.1,8.1K
156,74,75. See How They Run,https://www.imdb.com/title/tt13640696/?ref_=sr_t_75,2022,1h 38m,PG-13,6.5,68K
157,414,415. Tommy Guns,https://www.imdb.com/title/tt21226804/?ref_=sr_t_415,2022,2h,Unrated,6.3,288
158,418,419. Duchess,https://www.imdb.com/title/tt18300732/?ref_=sr_t_419,2024,1h 54m,R,4.6,1.1K
159,505,506. Chief of Station,https://www.imdb.com/title/tt21301418/?ref_=sr_t_506,2024,1h 37m,,4.7,3.9K
160,201,202. Sputnik,https://www.imdb.com/title/tt11905962/?ref_=sr_t_202,2020,1h 53m,Not Rated,6.4,28K
161,545,546. Good Boy,https://www.imdb.com/title/tt19705884/?ref_=sr_t_546,2022,1h 16m,R,5.7,3.9K
162,54,55. The Little Things,https://www.imdb.com/title/tt10016180/?ref_=sr_t_55,2021,2h 8m,R,6.3,133K
163,389,390. Monsters of Man,https://www.imdb.com/title/tt6456326/?ref_=sr_t_390,2020,2h 11m,Not Rated,5.4,8.6K
164,567,568. Enforcement,https://www.imdb.com/title/tt11081050/?ref_=sr_t_568,2020,1h 48m,Not Rated,6.5,7.3K
165,403,404. White Balls on Walls,https://www.imdb.com/title/tt23133154/?ref_=sr_t_404,2022,1h 30m,,7.0,75
166,475,476. Friendsgiving,https://www.imdb.com/title/tt8431078/?ref_=sr_t_476,2020,1h 35m,R,4.4,3.9K
167,461,462. No Sudden Move,https://www.imdb.com/title/tt11525644/?ref_=sr_t_462,2021,1h 55m,R,6.4,42K
168,80,81. '83,https://www.imdb.com/title/tt7518786/?ref_=sr_t_81,2021,2h 42m,TV-14,7.5,42K
169,207,208. Green Ghost and the Masters of the Stone,https://www.imdb.com/title/tt4012916/?ref_=sr_t_208,2021,1h 22m,PG-13,4.6,659
170,238,239. Sex and the Future,https://www.imdb.com/title/tt7541838/?ref_=sr_t_239,2020,1h 30m,Not Rated,2.2,422
171,278,279. Handling the Undead,https://www.imdb.com/title/tt2118648/?ref_=sr_t_279,2024,1h 37m,,5.4,3.9K
172,326,327. Uncharitable,https://www.imdb.com/title/tt10378492/?ref_=sr_t_327,2023,1h 30m,,8.5,42
173,393,394. Artemis Fowl,https://www.imdb.com/title/tt3089630/?ref_=sr_t_394,2020,1h 35m,PG,4.3,31K
174,124,125. White Bird,https://www.imdb.com/title/tt11068094/?ref_=sr_t_125,2023,2h 1m,PG-13,7.3,4.2K
175,54,55. 80 for Brady,https://www.imdb.com/title/tt18079362/?ref_=sr_t_55,2023,1h 38m,PG-13,5.9,13K
176,451,452. The Woman in the Window,https://www.imdb.com/title/tt6111574/?ref_=sr_t_452,2021,1h 40m,R,5.7,86K
177,502,503. Yacht Rock: A Dockumentary,https://www.imdb.com/title/tt34280353/?ref_=sr_t_503,2024,1h 35m,TV-MA,7.7,1.3K
178,340,341. Rebel Ridge,https://www.imdb.com/title/tt11301886/?ref_=sr_t_341,2024,2h 11m,TV-MA,6.8,76K
179,312,313. Sex-Positive,https://www.imdb.com/title/tt16161330/?ref_=sr_t_313,2024,1h 25m,,4.1,596
180,389,390. Time Cut,https://www.imdb.com/title/tt14857528/?ref_=sr_t_390,2024,1h 31m,TV-14,5.0,16K
181,411,412. Therapy Dogs,https://www.imdb.com/title/tt16426096/?ref_=sr_t_412,2022,1h 23m,,6.9,131
182,477,478. Grand Jeté,https://www.imdb.com/title/tt13887082/?ref_=sr_t_478,2022,1h 45m,Unrated,4.8,1.1K
183,299,300. Santosh,https://www.imdb.com/title/tt30444418/?ref_=sr_t_300,2024,2h,R,7.1,834
184,186,187. Weekend in Taipei,https://www.imdb.com/title/tt28142896/?ref_=sr_t_187,2024,1h 40m,R,5.7,3K
185,261,262. Omni Loop,https://www.imdb.com/title/tt28150132/?ref_=sr_t_262,2024,1h 52m,,5.5,1.8K
186,217,218. Saint Omer,https://www.imdb.com/title/tt15376894/?ref_=sr_t_218,2022,2h 2m,PG-13,6.8,5.7K
187,336,337. The African Desperate,https://www.imdb.com/title/tt17048276/?ref_=sr_t_337,2022,1h 37m,,5.6,583
188,104,105. Final Account,https://www.imdb.com/title/tt12789212/?ref_=sr_t_105,2020,1h 34m,PG-13,7.3,1.8K
189,170,171. Arcadian,https://www.imdb.com/title/tt22939186/?ref_=sr_t_171,2024,1h 32m,R,5.5,20K
190,143,144. Strange Darling,https://www.imdb.com/title/tt22375054/?ref_=sr_t_144,2023,1h 37m,R,7.1,37K
191,309,310. Give Me Five,https://www.imdb.com/title/tt17052380/?ref_=sr_t_310,2022,1h 52m,,5.2,147
192,436,437. The Remarkable Life of Ibelin,https://www.imdb.com/title/tt19811010/?ref_=sr_t_437,2024,1h 46m,PG-13,8.2,10K
193,210,211. Gone in the Night,https://www.imdb.com/title/tt15426294/?ref_=sr_t_211,2022,1h 30m,R,4.9,6.8K
194,351,352. The Children's Train,https://www.imdb.com/title/tt29242846/?ref_=sr_t_352,2024,1h 46m,TV-14,7.4,4.2K
195,65,66. Cry Macho,https://www.imdb.com/title/tt1924245/?ref_=sr_t_66,2021,1h 44m,PG-13,5.7,35K
196,273,274. Jingle Jangle: A Christmas Journey,https://www.imdb.com/title/tt7736496/?ref_=sr_t_274,2020,2h 2m,PG,6.4,21K
197,188,189. Happening,https://www.imdb.com/title/tt13880104/?ref_=sr_t_189,2021,1h 40m,R,7.4,12K
198,111,112. Solo Leveling: ReAwakening,https://www.imdb.com/title/tt33428606/?ref_=sr_t_112,2024,2h 1m,R,8.2,1.8K
199,93,94. Cuckoo,https://www.imdb.com/title/tt12349832/?ref_=sr_t_94,2024,1h 42m,R,5.8,20K
200,309,310. Universal Language,https://www.imdb.com/title/tt31691389/?ref_=sr_t_310,2024,1h 29m,,7.0,499
201,497,498. Black Friday,https://www.imdb.com/title/tt11649338/?ref_=sr_t_498,2021,1h 24m,,4.7,9.1K
202,350,351. Cuties,https://www.imdb.com/title/tt9196192/?ref_=sr_t_351,2020,1h 36m,TV-MA,3.6,33K
203,512,513. Christmas on Mistletoe Farm,https://www.imdb.com/title/tt20561114/?ref_=sr_t_513,2022,1h 42m,,4.5,2.1K
204,401,402. Agni,https://www.imdb.com/title/tt27930683/?ref_=sr_t_402,2024,2h 2m,,7.5,14K
205,442,443. Deep Water,https://www.imdb.com/title/tt2180339/?ref_=sr_t_443,2022,1h 55m,R,5.5,62K
206,419,420. Carp-e Diem,https://www.imdb.com/title/tt14596040/?ref_=sr_t_420,2022,1h 40m,,6.6,75
207,150,151. Problemista,https://www.imdb.com/title/tt15078804/?ref_=sr_t_151,2023,1h 44m,R,6.8,7.4K
208,526,527. Finding Jesus,https://www.imdb.com/title/tt12981810/?ref_=sr_t_527,2020,1h 9m,Not Rated,1.2,1.4K
209,575,576. Black Water: Abyss,https://www.imdb.com/title/tt7978672/?ref_=sr_t_576,2020,1h 38m,Not Rated,4.6,7.2K
210,247,248. The Carpenter,https://www.imdb.com/title/tt21387696/?ref_=sr_t_248,2023,,,6.0,95
211,214,215. The Meaning of Hitler,https://www.imdb.com/title/tt13490106/?ref_=sr_t_215,2020,1h 32m,,6.3,504
212,149,150. Small Things Like These,https://www.imdb.com/title/tt27196021/?ref_=sr_t_150,2024,1h 38m,PG-13,6.9,13K
213,305,306. Life & Life,https://www.imdb.com/title/tt9097740/?ref_=sr_t_306,2021,1h 21m,,,
214,529,530. Gabriel's Inferno: Part Two,https://www.imdb.com/title/tt13535454/?ref_=sr_t_530,2020,1h 46m,TV-14,6.4,1.6K
215,118,119. My Penguin Friend,https://www.imdb.com/title/tt8609660/?ref_=sr_t_119,2024,1h 37m,PG,6.7,3.8K
216,523,524. White Noise,https://www.imdb.com/title/tt6160448/?ref_=sr_t_524,2022,2h 16m,R,5.7,46K
217,434,435. A Dog's Will 2,https://www.imdb.com/title/tt28696532/?ref_=sr_t_435,2024,1h 44m,,6.5,700
